0,4
1,0
2,0
3,5
4,9
5,0
6,2
7,9
8,4
9,9
10,9
11,0
12,2
13,2
14,4
15,5
16,9
17,9
18,4
19,0
20,9
21,9
22,0
23,2
24,4
25,9
26,8
27,6
28,0
29,4
30,0
31,0
32,9
33,4
34,2
35,0
36,4
37,2
38,0
39,4
40,5
41,2
42,9
43,6
44,6
45,0
46,0
47,4
48,9
49,4
50,0
51,9
52,0
53,2
54,2
55,8
56,9
57,9
58,4
59,9
60,0
61,8
62,2
63,8
64,9
65,0
66,9
67,7
68,5
69,9
70,9
71,9
72,4
73,0
74,9
75,0
76,0
77,4
78,7
79,8
80,0
81,0
82,9
83,0
84,0
85,0
86,4
87,4
88,4
89,4
90,3
91,7
92,3
93,9
94,0
95,9
96,9
97,0
98,0
99,6
100,5
101,0
102,0
103,9
104,0
105,0
106,5
107,7
108,8
109,4
110,2
111,4
112,9
113,4
114,2
115,9
116,9
117,9
118,0
119,2
120,0
121,2
122,0
123,2
124,9
125,2
126,5
127,4
128,0
129,4
130,5
131,0
132,4
133,2
134,0
135,2
136,9
137,4
138,7
139,0
140,4
141,4
142,0
143,2
144,3
145,7
146,0
147,2
148,2
149,9
150,0
151,0
152,7
153,2
154,0
155,2
156,7
157,0
158,9
159,9
160,4
161,5
162,4
163,4
164,0
165,0
166,4
167,0
168,4
169,9
170,6
171,9
172,0
173,5
174,0
175,0
176,5
177,9
178,9
179,4
180,6
181,0
182,9
183,7
184,9
185,9
186,4
187,4
188,8
189,9
190,7
191,0
192,8
193,0
194,9
195,2
196,2
197,8
198,9
199,0
200,0
201,9
202,9
203,5
204,7
205,5
206,4
207,8
208,0
209,9
210,4
211,4
212,2
213,0
214,0
215,4
216,9
217,0
218,2
219,6
220,0
221,8
222,9
223,2
224,0
225,2
226,9
227,3
228,0
229,0
230,4
231,4
232,9
233,0
234,2
235,9
236,4
237,9
238,9
239,9
240,0
241,4
242,3
243,0
244,4
245,4
246,9
247,0
248,3
249,0
250,2
251,2
252,6
253,2
254,0
255,0
256,8
257,9
258,0
259,8
260,0
261,4
262,9
263,0
264,9
265,5
266,0
267,2
268,4
269,4
270,2
271,4
